FIPS Code, State/Area, Year, Month, Total Civilian Non-Institutional Population in State/Area, Total Civilian Labor Force in State/Area, Percent (%) of State/Area's Population, Total Employment in State/Area, Percent (%) of Labor Force Employed in State/Area, Total Unemployment in State/Area, Percent (%) of Labor Force Unemployed in State/Area
47, Tennessee,2005,6,4604267,2891389,62.8,2733867,59.4,157522,5.4
48, Texas,2005,6,16595241,11163389,67.3,10569961,63.7,593428,5.3
49, Utah,2005,6,1774015,1279876,72.1,1227458,69.2,52418,4.1
50, Vermont,2005,6,495183,349161,70.5,337233,68.1,11928,3.4
51, Virginia,2005,6,5701112,3913106,68.6,3760577,66,152529,3.9
53, Washington,2005,6,4809877,3260163,67.8,3077493,64,182670,5.6
54, West Virginia,2005,6,1434264,794490,55.4,751601,52.4,42889,5.4
55, Wisconsin,2005,6,4282435,3026367,70.7,2884933,67.4,141434,4.7
56, Wyoming,2005,6,389407,279173,71.7,269233,69.1,9940,3.6
01, Alabama,2005,7,3476528,2141446,61.6,2049425,59,92021,4.3
02, Alaska,2005,7,480302,344616,71.7,321214,66.9,23402,6.8
04, Arizona,2005,7,4470636,2870449,64.2,2736262,61.2,134187,4.7
05, Arkansas,2005,7,2112310,1337609,63.3,1267612,60,69997,5.2
06, California,2005,7,26761285,17571326,65.7,16642343,62.2,928983,5.3
037, Los Angeles County,2005,7,7367882,4794160,65.1,4548680,61.7,245480,5.1
08, Colorado,2005,7,3547868,2571894,72.5,2443117,68.9,128777,5
09, Connecticut,2005,7,2676356,1797541,67.2,1711644,64,85897,4.8
10, Delaware,2005,7,645335,435162,67.4,415453,64.4,19709,4.5
11, District of Columbia,2005,7,466557,318296,68.2,296852,63.6,21444,6.7
12, Florida,2005,7,13912144,8679055,62.4,8440004,60.7,239051,2.8
13, Georgia,2005,7,6752872,4611806,68.3,4348844,64.4,262962,5.7
15, Hawaii,2005,7,951120,627667,66,610383,64.2,17284,2.8
16, Idaho,2005,7,1057079,733547,69.4,704126,66.6,29421,4
17, Illinois,2005,7,9609780,6415103,66.8,6048748,62.9,366355,5.7
18, Indiana,2005,7,4753203,3206552,67.5,3036250,63.9,170302,5.3
19, Iowa,2005,7,2275021,1631666,71.7,1562922,68.7,68744,4.2
20, Kansas,2005,7,2067785,1458268,70.5,1385522,67,72746,5
21, Kentucky,2005,7,3207234,1995787,62.2,1878884,58.6,116903,5.9
22, Louisiana,2005,7,3357249,2053798,61.2,1941390,57.8,112408,5.5
23, Maine,2005,7,1043312,697669,66.9,663284,63.6,34385,4.9
24, Maryland,2005,7,4255488,2938910,69.1,2808520,66,130390,4.4
25, Massachusetts,2005,7,5062501,3389380,67,3228732,63.8,160648,4.7
26, Michigan,2005,7,7736738,5071751,65.6,4736805,61.2,334946,6.6
27, Minnesota,2005,7,3928695,2885243,73.4,2769965,70.5,115278,4
28, Mississippi,2005,7,2151754,1331761,61.9,1236213,57.5,95548,7.2
29, Missouri,2005,7,4435880,3009855,67.9,2852209,64.3,157646,5.2
30, Montana,2005,7,728315,486068,66.7,466344,64,19724,4.1
31, Nebraska,2005,7,1324378,972543,73.4,936425,70.7,36118,3.7
32, Nevada,2005,7,1820663,1232503,67.7,1181486,64.9,51017,4.1
33, New Hampshire,2005,7,1019558,727494,71.4,701103,68.8,26391,3.6
34, New Jersey,2005,7,6629791,4397469,66.3,4208538,63.5,188931,4.3
35, New Mexico,2005,7,1436873,907701,63.2,861045,59.9,46656,5.1
36, New York,2005,7,15006382,9471800,63.1,9004782,60,467018,4.9
51000, New York city,2005,7,6419637,3806317,59.3,3594394,56,211923,5.6
37, North Carolina,2005,7,6571003,4354216,66.3,4109401,62.5,244815,5.6
38, North Dakota,2005,7,491617,356804,72.6,345038,70.2,11766,3.3
39, Ohio,2005,7,8819325,5885049,66.7,5544880,62.9,340169,5.8
40, Oklahoma,2005,7,2656290,1712048,64.5,1638056,61.7,73992,4.3
41, Oregon,2005,7,2823483,1851120,65.6,1737093,61.5,114027,6.2
42, Pennsylvania,2005,7,9700613,6263784,64.6,5956351,61.4,307433,4.9
44, Rhode Island,2005,7,836702,565147,67.5,536047,64.1,29100,5.1
45, South Carolina,2005,7,3233510,2063723,63.8,1915173,59.2,148550,7.2
46, South Dakota,2005,7,589563,429676,72.9,414593,70.3,15083,3.5
47, Tennessee,2005,7,4610566,2897898,62.9,2742168,59.5,155730,5.4
48, Texas,2005,7,16621056,11181941,67.3,10586526,63.7,595415,5.3
49, Utah,2005,7,1778097,1284707,72.3,1233299,69.4,51408,4
50, Vermont,2005,7,495527,349868,70.6,337831,68.2,12037,3.4
51, Virginia,2005,7,5708868,3922403,68.7,3770468,66,151935,3.9
53, Washington,2005,7,4816608,3267255,67.8,3084845,64,182410,5.6
54, West Virginia,2005,7,1434589,795733,55.5,752689,52.5,43044,5.4
55, Wisconsin,2005,7,4286049,3031393,70.7,2888786,67.4,142607,4.7
56, Wyoming,2005,7,389729,279863,71.8,269845,69.2,10018,3.6
01, Alabama,2005,8,3480482,2144070,61.6,2052511,59,91559,4.3
02, Alaska,2005,8,481163,345128,71.7,321428,66.8,23700,6.9
04, Arizona,2005,8,4484551,2878393,64.2,2743723,61.2,134670,4.7
05, Arkansas,2005,8,2114958,1339765,63.3,1268919,60,70846,5.3
06, California,2005,8,26779322,17586567,65.7,16660840,62.2,925727,5.3
037, Los Angeles County,2005,8,7368609,4798037,65.1,4554681,61.8,243356,5.1
08, Colorado,2005,8,3554004,2575669,72.5,2448234,68.9,127435,4.9
09, Connecticut,2005,8,2677768,1800444,67.2,1714626,64,85818,4.8
10, Delaware,2005,8,646369,436916,67.6,416994,64.5,19922,4.6
11, District of Columbia,2005,8,466814,317895,68.1,297042,63.6,20853,6.6
12, Florida,2005,8,13934021,8704254,62.5,8470906,60.8,233348,2.7
13, Georgia,2005,8,6766443,4621335,68.3,4358286,64.4,263049,5.7
15, Hawaii,2005,8,951794,629176,66.1,611695,64.3,17481,2.8
16, Idaho,2005,8,1059593,734841,69.4,705881,66.6,28960,3.9
17, Illinois,2005,8,9614723,6419959,66.8,6057981,63,361978,5.6
18, Indiana,2005,8,4756761,3212832,67.5,3040900,63.9,171932,5.4
19, Iowa,2005,8,2276379,1633524,71.8,1564894,68.7,68630,4.2
20, Kansas,2005,8,2068690,1458670,70.5,1386265,67,72405,5
21, Kentucky,2005,8,3210624,1999069,62.3,1880045,58.6,119024,6
22, Louisiana,2005,8,3361183,2048166,60.9,1934284,57.5,113882,5.6
23, Maine,2005,8,1043947,698645,66.9,664096,63.6,34549,4.9
24, Maryland,2005,8,4258621,2942753,69.1,2813495,66.1,129258,4.4
25, Massachusetts,2005,8,5064723,3390341,66.9,3229086,63.8,161255,4.8
26, Michigan,2005,8,7738967,5070878,65.5,4738218,61.2,332660,6.6
27, Minnesota,2005,8,3932287,2884095,73.3,2768586,70.4,115509,4
28, Mississippi,2005,8,2155428,1332744,61.8,1236730,57.4,96014,7.2
29, Missouri,2005,8,4440311,3010684,67.8,2855649,64.3,155035,5.1
30, Montana,2005,8,729287,487195,66.8,467581,64.1,19614,4
31, Nebraska,2005,8,1325114,972541,73.4,936709,70.7,35832,3.7
32, Nevada,2005,8,1826077,1237385,67.8,1186098,65,51287,4.1
33, New Hampshire,2005,8,1020651,728165,71.3,701451,68.7,26714,3.7
34, New Jersey,2005,8,6631734,4404658,66.4,4211849,63.5,192809,4.4
35, New Mexico,2005,8,1438868,908444,63.1,862259,59.9,46185,5.1
36, New York,2005,8,15013158,9487602,63.2,9017089,60.1,470513,5
51000, New York city,2005,8,6423934,3812776,59.4,3598938,56,213838,5.6
37, North Carolina,2005,8,6583633,4361901,66.3,4116952,62.5,244949,5.6
38, North Dakota,2005,8,491791,357007,72.6,345323,70.2,11684,3.3
39, Ohio,2005,8,8822454,5889390,66.8,5550220,62.9,339170,5.8
40, Oklahoma,2005,8,2659280,1713560,64.4,1639307,61.6,74253,4.3
41, Oregon,2005,8,2828040,1852083,65.5,1738689,61.5,113394,6.1
42, Pennsylvania,2005,8,9706213,6265158,64.5,5957806,61.4,307352,4.9
44, Rhode Island,2005,8,836709,566774,67.7,536885,64.2,29889,5.3
45, South Carolina,2005,8,3239610,2075567,64.1,1925332,59.4,150235,7.2
46, South Dakota,2005,8,590216,429849,72.8,414985,70.3,14864,3.5
47, Tennessee,2005,8,4617670,2904849,62.9,2749511,59.5,155338,5.3
48, Texas,2005,8,16656333,11198913,67.2,10597585,63.6,601328,5.4
49, Utah,2005,8,1782993,1288990,72.3,1238581,69.5,50409,3.9
50, Vermont,2005,8,495840,350538,70.7,338360,68.2,12178,3.5
51, Virginia,2005,8,5715542,3928582,68.7,3777612,66.1,150970,3.8
53, Washington,2005,8,4825124,3272992,67.8,3090829,64.1,182163,5.6
54, West Virginia,2005,8,1435056,796724,55.5,753416,52.5,43308,5.4
55, Wisconsin,2005,8,4289172,3036040,70.8,2891742,67.4,144298,4.8
56, Wyoming,2005,8,390245,280397,71.9,270322,69.3,10075,3.6
01, Alabama,2005,9,3484482,2146009,61.6,2054667,59,91342,4.3
02, Alaska,2005,9,482067,345532,71.7,321504,66.7,24028,7
04, Arizona,2005,9,4498643,2885335,64.1,2750192,61.1,135143,4.7
05, Arkansas,2005,9,2122332,1341047,63.2,1269841,59.8,71206,5.3
06, California,2005,9,26798546,17593070,65.6,16670184,62.2,922886,5.2
037, Los Angeles County,2005,9,7369331,4800718,65.1,4557811,61.8,242907,5.1
08, Colorado,2005,9,3560313,2580186,72.5,2453632,68.9,126554,4.9
09, Connecticut,2005,9,2679281,1803280,67.3,1717539,64.1,85741,4.8
10, Delaware,2005,9,647424,438472,67.7,418445,64.6,20027,4.6
11, District of Columbia,2005,9,467067,317511,68,297111,63.6,20400,6.4
12, Florida,2005,9,13956379,8723602,62.5,8495124,60.9,228478,2.6
13, Georgia,2005,9,6780106,4628993,68.3,4366401,64.4,262592,5.7
15, Hawaii,2005,9,952539,630132,66.2,612523,64.3,17609,2.8
16, Idaho,2005,9,1062135,735658,69.3,707285,66.6,28373,3.9
17, Illinois,2005,9,9619947,6424089,66.8,6066490,63.1,357599,5.6
18, Indiana,2005,9,4760357,3218431,67.6,3045291,64,173140,5.4
19, Iowa,2005,9,2277783,1635007,71.8,1566429,68.8,68578,4.2
20, Kansas,2005,9,2069677,1458875,70.5,1386742,67,72133,4.9
21, Kentucky,2005,9,3214075,2001269,62.3,1880085,58.5,121184,6.1
22, Louisiana,2005,9,3162488,2173136,68.7,1924844,60.9,248292,11.4
23, Maine,2005,9,1044621,699076,66.9,664456,63.6,34620,5
24, Maryland,2005,9,4261842,2945531,69.1,2817311,66.1,128220,4.4
25, Massachusetts,2005,9,5067045,3390494,66.9,3228461,63.7,162033,4.8
26, Michigan,2005,9,7741284,5070043,65.5,4737551,61.2,332492,6.6
27, Minnesota,2005,9,3935944,2882897,73.2,2766312,70.3,116585,4
28, Mississippi,2005,9,2159130,1316504,61,1187304,55,129200,9.8
29, Missouri,2005,9,4444835,3011492,67.8,2857909,64.3,153583,5.1
30, Montana,2005,9,730293,488098,66.8,468695,64.2,19403,4
31, Nebraska,2005,9,1325871,972334,73.3,936752,70.7,35582,3.7
32, Nevada,2005,9,1831478,1241575,67.8,1190337,65,51238,4.1
33, New Hampshire,2005,9,1021754,728538,71.3,701605,68.7,26933,3.7
34, New Jersey,2005,9,6633923,4409444,66.5,4211629,63.5,197815,4.5
35, New Mexico,2005,9,1440960,908796,63.1,863101,59.9,45695,5
36, New York,2005,9,15020395,9499119,63.2,9027253,60.1,471866,5
51000, New York city,2005,9,6428233,3817709,59.4,3602440,56,215269,5.6
37, North Carolina,2005,9,6596369,4368733,66.2,4124674,62.5,244059,5.6
38, North Dakota,2005,9,492004,357126,72.6,345520,70.2,11606,3.2
39, Ohio,2005,9,8825781,5893220,66.8,5553817,62.9,339403,5.8
40, Oklahoma,2005,9,2667366,1714235,64.3,1640181,61.5,74054,4.3
41, Oregon,2005,9,2832682,1852864,65.4,1740376,61.4,112488,6.1
42, Pennsylvania,2005,9,9711995,6264639,64.5,5956334,61.3,308305,4.9
44, Rhode Island,2005,9,836767,567997,67.9,537478,64.2,30519,5.4
45, South Carolina,2005,9,3245788,2086459,64.3,1934643,59.6,151816,7.3
46, South Dakota,2005,9,590882,429938,72.8,415245,70.3,14693,3.4
47, Tennessee,2005,9,4624873,2912507,63,2756425,59.6,156082,5.4
48, Texas,2005,9,16739709,11211963,67,10604917,63.4,607046,5.4
49, Utah,2005,9,1787954,1292779,72.3,1243398,69.5,49381,3.8
50, Vermont,2005,9,496157,351183,70.8,338880,68.3,12303,3.5
51, Virginia,2005,9,5722306,3932245,68.7,3782825,66.1,149420,3.8
53, Washington,2005,9,4833784,3277523,67.8,3096373,64.1,181150,5.5
54, West Virginia,2005,9,1435554,797404,55.5,753972,52.5,43432,5.4
55, Wisconsin,2005,9,4292397,3039521,70.8,2893934,67.4,145587,4.8
56, Wyoming,2005,9,390750,280752,71.8,270691,69.3,10061,3.6
01, Alabama,2005,10,3491829,2147374,61.5,2056388,58.9,90986,4.2
02, Alaska,2005,10,483268,345831,71.6,321576,66.5,24255,7
04, Arizona,2005,10,4518189,2892105,64,2757019,61,135086,4.7
05, Arkansas,2005,10,2122332,1341579,63.2,1270710,59.9,70869,5.3
06, California,2005,10,26862414,17592258,65.5,16675256,62.1,917002,5.2
037, Los Angeles County,2005,10,7370056,4802898,65.2,4559845,61.9,243053,5.1
08, Colorado,2005,10,3570629,2585429,72.4,2460026,68.9,125403,4.9
09, Connecticut,2005,10,2683889,1806325,67.3,1720905,64.1,85420,4.7
10, Delaware,2005,10,649203,439827,67.7,419873,64.7,19954,4.5
11, District of Columbia,2005,10,468133,317260,67.8,297190,63.5,20070,6.3
12, Florida,2005,10,13997572,8739398,62.4,8515544,60.8,223854,2.6
13, Georgia,2005,10,6801551,4635374,68.2,4374745,64.3,260629,5.6
15, Hawaii,2005,10,954631,630555,66.1,612996,64.2,17559,2.8
16, Idaho,2005,10,1065643,736264,69.1,708439,66.5,27825,3.8
17, Illinois,2005,10,9636489,6428364,66.7,6076025,63.1,352339,5.5
18, Indiana,2005,10,4768332,3223149,67.6,3050395,64,172754,5.4
19, Iowa,2005,10,2281089,1636188,71.7,1568012,68.7,68176,4.2
20, Kansas,2005,10,2072575,1458597,70.4,1386985,66.9,71612,4.9
21, Kentucky,2005,10,3219936,2002716,62.2,1879980,58.4,122736,6.1
22, Louisiana,2005,10,3162488,2163281,68.4,1915795,60.6,247486,11.4
23, Maine,2005,10,1046097,699035,66.8,664565,63.5,34470,4.9
24, Maryland,2005,10,4270149,2947984,69,2821340,66.1,126644,4.3
25, Massachusetts,2005,10,5074742,3390374,66.8,3227977,63.6,162397,4.8
26, Michigan,2005,10,7751012,5069227,65.4,4735206,61.1,334021,6.6
27, Minnesota,2005,10,3943026,2882961,73.1,2764955,70.1,118006,4.1
28, Mississippi,2005,10,2123380,1303895,61.4,1186924,55.9,116971,9
29, Missouri,2005,10,4453081,3012033,67.6,2859392,64.2,152641,5.1
30, Montana,2005,10,731782,488697,66.8,469654,64.2,19043,3.9
31, Nebraska,2005,10,1327891,971736,73.2,936622,70.5,35114,3.6
32, Nevada,2005,10,1839147,1245346,67.7,1194538,65,50808,4.1
33, New Hampshire,2005,10,1023799,728681,71.2,701803,68.5,26878,3.7
34, New Jersey,2005,10,6644593,4412517,66.4,4210115,63.4,202402,4.6
35, New Mexico,2005,10,1445508,908872,62.9,863955,59.8,44917,4.9
36, New York,2005,10,15047970,9507494,63.2,9037183,60.1,470311,4.9
51000, New York city,2005,10,6432514,3821311,59.4,3606061,56.1,215250,5.6
37, North Carolina,2005,10,6615988,4374131,66.1,4132785,62.5,241346,5.5
38, North Dakota,2005,10,492578,357237,72.5,345720,70.2,11517,3.2
39, Ohio,2005,10,8836887,5896020,66.7,5557780,62.9,338240,5.7
40, Oklahoma,2005,10,2667366,1714020,64.3,1640951,61.5,73069,4.3
41, Oregon,2005,10,2839870,1853654,65.3,1742628,61.4,111026,6
42, Pennsylvania,2005,10,9727342,6262659,64.4,5954723,61.2,307936,4.9
44, Rhode Island,2005,10,837799,568714,67.9,537884,64.2,30830,5.4
45, South Carolina,2005,10,3255386,2096077,64.4,1943514,59.7,152563,7.3
46, South Dakota,2005,10,591942,429933,72.6,415423,70.2,14510,3.4
47, Tennessee,2005,10,4636094,2920508,63,2763210,59.6,157298,5.4
48, Texas,2005,10,16739709,11221201,67,10612285,63.4,608916,5.4
49, Utah,2005,10,1794442,1296320,72.2,1248068,69.6,48252,3.7
50, Vermont,2005,10,496958,351830,70.8,339450,68.3,12380,3.5
51, Virginia,2005,10,5735305,3934813,68.6,3787789,66,147024,3.7
53, Washington,2005,10,4846818,3281368,67.7,3102575,64,178793,5.4
54, West Virginia,2005,10,1437071,797841,55.5,754692,52.5,43149,5.4
55, Wisconsin,2005,10,4299451,3041767,70.7,2895781,67.4,145986,4.8
56, Wyoming,2005,10,391594,280982,71.8,271027,69.2,9955,3.5
01, Alabama,2005,11,3495703,2148494,61.5,2058020,58.9,90474,4.2
02, Alaska,2005,11,484146,346027,71.5,321695,66.4,24332,7
04, Arizona,2005,11,4532715,2899289,64,2765037,61,134252,4.6
05, Arkansas,2005,11,2124968,1341840,63.1,1271732,59.8,70108,5.2
06, California,2005,11,26886799,17588199,65.4,16680410,62,907789,5.2
037, Los Angeles County,2005,11,7370497,4804682,65.2,4561783,61.9,242899,5.1
08, Colorado,2005,11,3577167,2591508,72.4,2467857,69,123651,4.8
09, Connecticut,2005,11,2685408,1809526,67.4,1724701,64.2,84825,4.7
10, Delaware,2005,11,650249,440907,67.8,421211,64.8,19696,4.5
11, District of Columbia,2005,11,468403,317081,67.7,297209,63.5,19872,6.3
12, Florida,2005,11,14020653,8754532,62.4,8534968,60.9,219564,2.5
13, Georgia,2005,11,6815405,4641476,68.1,4384358,64.3,257118,5.5
15, Hawaii,2005,11,955583,630663,66,613292,64.2,17371,2.8
16, Idaho,2005,11,1068173,736969,69,709484,66.4,27485,3.7
17, Illinois,2005,11,9642026,6433630,66.7,6087174,63.1,346456,5.4
18, Indiana,2005,11,4771850,3226653,67.6,3056076,64,170577,5.3
19, Iowa,2005,11,2282350,1637386,71.7,1570143,68.8,67243,4.1
20, Kansas,2005,11,2073513,1457882,70.3,1387093,66.9,70789,4.9
21, Kentucky,2005,11,3223221,2003954,62.2,1880622,58.3,123332,6.2
22, Louisiana,2005,11,3163098,2153374,68.1,1909121,60.4,244253,11.3
23, Maine,2005,11,1046684,698711,66.8,664644,63.5,34067,4.9
24, Maryland,2005,11,4273424,2950992,69.1,2826553,66.1,124439,4.2
25, Massachusetts,2005,11,5077035,3390390,66.8,3228125,63.6,162265,4.8
26, Michigan,2005,11,7753142,5068822,65.4,4731389,61,337433,6.7
27, Minnesota,2005,11,3946572,2884450,73.1,2765204,70.1,119246,4.1
28, Mississippi,2005,11,2123831,1297935,61.1,1186645,55.9,111290,8.6
29, Missouri,2005,11,4457379,3012555,67.6,2860770,64.2,151785,5
30, Montana,2005,11,732721,489065,66.7,470489,64.2,18576,3.8
31, Nebraska,2005,11,1328595,970846,73.1,936489,70.5,34357,3.5
32, Nevada,2005,11,1844820,1249182,67.7,1198920,65,50262,4
33, New Hampshire,2005,11,1024878,728637,71.1,702098,68.5,26539,3.6
34, New Jersey,2005,11,6647022,4415274,66.4,4209367,63.3,205907,4.7
35, New Mexico,2005,11,1447908,908755,62.8,865005,59.7,43750,4.8
36, New York,2005,11,15056080,9513815,63.2,9046842,60.1,466973,4.9
51000, New York city,2005,11,6436580,3823659,59.4,3609917,56.1,213742,5.6
37, North Carolina,2005,11,6628743,4378685,66.1,4141686,62.5,236999,5.4
38, North Dakota,2005,11,492735,357460,72.5,346030,70.2,11430,3.2
39, Ohio,2005,11,8839733,5897939,66.7,5562941,62.9,334998,5.7
40, Oklahoma,2005,11,2670374,1713063,64.2,1641639,61.5,71424,4.2
41, Oregon,2005,11,2844462,1854667,65.2,1745572,61.4,109095,5.9
42, Pennsylvania,2005,11,9732648,6260944,64.3,5955415,61.2,305529,4.9
44, Rhode Island,2005,11,837848,568990,67.9,538164,64.2,30826,5.4
45, South Carolina,2005,11,3261545,2105023,64.5,1952528,59.9,152495,7.2
46, South Dakota,2005,11,592604,429875,72.5,415594,70.1,14281,3.3
47, Tennessee,2005,11,4643173,2928930,63.1,2770270,59.7,158660,5.4
48, Texas,2005,11,16746390,11227907,67,10621632,63.4,606275,5.4
49, Utah,2005,11,1799404,1299869,72.2,1252829,69.6,47040,3.6
50, Vermont,2005,11,497275,352432,70.9,340020,68.4,12412,3.5
51, Virginia,2005,11,5742125,3937586,68.6,3793610,66.1,143976,3.7
53, Washington,2005,11,4855511,3285007,67.7,3109758,64,175249,5.3
54, West Virginia,2005,11,1437451,798171,55.5,755752,52.6,42419,5.3
55, Wisconsin,2005,11,4302495,3043147,70.7,2897652,67.3,145495,4.8
56, Wyoming,2005,11,392128,281156,71.7,271399,69.2,9757,3.5
01, Alabama,2005,12,3499904,2149633,61.4,2059843,58.9,89790,4.2
02, Alaska,2005,12,485094,346169,71.4,321902,66.4,24267,7
04, Arizona,2005,12,4547225,2907204,63.9,2774501,61,132703,4.6
05, Arkansas,2005,12,2127798,1342120,63.1,1272820,59.8,69300,5.2
06, California,2005,12,26910607,17583772,65.3,16687569,62,896203,5.1
037, Los Angeles County,2005,12,7371226,4805470,65.2,4563673,61.9,241797,5
08, Colorado,2005,12,3583738,2598074,72.5,2476752,69.1,121322,4.7
09, Connecticut,2005,12,2687028,1812780,67.5,1728795,64.3,83985,4.6
10, Delaware,2005,12,651324,441628,67.8,422333,64.8,19295,4.4
11, District of Columbia,2005,12,468752,316887,67.6,297103,63.4,19784,6.2
12, Florida,2005,12,14044122,8770521,62.4,8554725,60.9,215796,2.5
13, Georgia,2005,12,6829755,4647812,68.1,4395233,64.4,252579,5.4
15, Hawaii,2005,12,956608,630664,65.9,613526,64.1,17138,2.7
16, Idaho,2005,12,1070764,737865,68.9,710506,66.4,27359,3.7
17, Illinois,2005,12,9648009,6439468,66.7,6099998,63.2,339470,5.3
18, Indiana,2005,12,4775674,3228693,67.6,3061470,64.1,167223,5.2
19, Iowa,2005,12,2283791,1639110,71.8,1573366,68.9,65744,4
20, Kansas,2005,12,2074556,1456928,70.2,1387302,66.9,69626,4.8
21, Kentucky,2005,12,3226778,2005232,62.1,1882447,58.3,122785,6.1
22, Louisiana,2005,12,3164830,2035834,64.3,1905605,60.2,130229,6.4
23, Maine,2005,12,1047375,698259,66.7,664823,63.5,33436,4.8
24, Maryland,2005,12,4277029,2954859,69.1,2832771,66.2,122088,4.1
25, Massachusetts,2005,12,5079565,3390351,66.7,3228651,63.6,161700,4.8
26, Michigan,2005,12,7755832,5068366,65.3,4726467,60.9,341899,6.7
27, Minnesota,2005,12,3950331,2885850,73.1,2766158,70,119692,4.1
28, Mississippi,2005,12,2125280,1283148,60.4,1186761,55.8,96387,7.5
29, Missouri,2005,12,4462051,3013355,67.5,2862756,64.2,150599,5
30, Montana,2005,12,733738,489365,66.7,471289,64.2,18076,3.7
31, Nebraska,2005,12,1329407,969870,73,936544,70.4,33326,3.4
32, Nevada,2005,12,1850497,1253457,67.7,1203581,65,49876,4
33, New Hampshire,2005,12,1026045,728390,71,702402,68.5,25988,3.6
34, New Jersey,2005,12,6649738,4418378,66.4,4209957,63.3,208421,4.7
35, New Mexico,2005,12,1450277,908570,62.6,866249,59.7,42321,4.7
36, New York,2005,12,15064730,9518216,63.2,9056031,60.1,462185,4.9
51000, New York city,2005,12,6440863,3824950,59.4,3614303,56.1,210647,5.5
37, North Carolina,2005,12,6641991,4383727,66,4152043,62.5,231684,5.3
38, North Dakota,2005,12,492928,357871,72.6,346528,70.3,11343,3.2
39, Ohio,2005,12,8843248,5898850,66.7,5568986,63,329864,5.6
40, Oklahoma,2005,12,2673539,1711566,64,1642007,61.4,69559,4.1
41, Oregon,2005,12,2849175,1856074,65.1,1749282,61.4,106792,5.8
42, Pennsylvania,2005,12,9738584,6260644,64.3,5958684,61.2,301960,4.8
44, Rhode Island,2005,12,837949,569041,67.9,538397,64.3,30644,5.4
45, South Carolina,2005,12,3267963,2114205,64.7,1962317,60,151888,7.2
46, South Dakota,2005,12,593279,429803,72.4,415844,70.1,13959,3.2
47, Tennessee,2005,12,4650602,2937905,63.2,2778144,59.7,159761,5.4
48, Texas,2005,12,16761096,11233098,67,10633045,63.4,600053,5.3
49, Utah,2005,12,1804466,1303593,72.2,1257816,69.7,45777,3.5
50, Vermont,2005,12,497626,352929,70.9,340528,68.4,12401,3.5
51, Virginia,2005,12,5749362,3940662,68.5,3800223,66.1,140439,3.6
53, Washington,2005,12,4864388,3288548,67.6,3117441,64.1,171107,5.2
54, West Virginia,2005,12,1437956,798687,55.5,757175,52.7,41512,5.2
55, Wisconsin,2005,12,4305860,3043904,70.7,2899804,67.3,144100,4.7
56, Wyoming,2005,12,392682,281322,71.6,271850,69.2,9472,3.4
01, Alabama,2006,1,3503666,2151174,61.4,2062219,58.9,88955,4.1
02, Alaska,2006,1,485968,346388,71.3,322315,66.3,24073,6.9
04, Arizona,2006,1,4561185,2916314,63.9,2785456,61.1,130858,4.5
05, Arkansas,2006,1,2130322,1342700,63,1273915,59.8,68785,5.1
06, California,2006,1,26930839,17582550,65.3,16698861,62,883689,5
037, Los Angeles County,2006,1,7372201,4805672,65.2,4566203,61.9,239469,5
08, Colorado,2006,1,3589857,2605057,72.6,2486296,69.3,118761,4.6
09, Connecticut,2006,1,2688340,1816063,67.6,1733100,64.5,82963,4.6
10, Delaware,2006,1,652379,442004,67.8,423215,64.9,18789,4.3
11, District of Columbia,2006,1,469028,316908,67.6,297153,63.4,19755,6.2
12, Florida,2006,1,14065590,8789465,62.5,8576664,61,212801,2.4
13, Georgia,2006,1,6843197,4654813,68,4406965,64.4,247848,5.3
15, Hawaii,2006,1,957451,630827,65.9,613850,64.1,16977,2.7
16, Idaho,2006,1,1073261,738902,68.8,711591,66.3,27311,3.7
17, Illinois,2006,1,9652716,6446086,66.8,6115270,63.4,330816,5.1
18, Indiana,2006,1,4778850,3230070,67.6,3066477,64.2,163593,5.1
19, Iowa,2006,1,2284916,1641849,71.9,1578060,69.1,63789,3.9
20, Kansas,2006,1,2075320,1455936,70.2,1387766,66.9,68170,4.7
21, Kentucky,2006,1,3229869,2006831,62.1,1885679,58.4,121152,6
22, Louisiana,2006,1,3166964,2003932,63.3,1905404,60.2,98528,4.9
23, Maine,2006,1,1047909,697917,66.6,665201,63.5,32716,4.7
24, Maryland,2006,1,4280040,2959519,69.1,2839370,66.3,120149,4.1
25, Massachusetts,2006,1,5081434,3390788,66.7,3229944,63.6,160844,4.7
26, Michigan,2006,1,7757479,5067923,65.3,4722032,60.9,345891,6.8
27, Minnesota,2006,1,3953580,2886377,73,2767467,70,118910,4.1
28, Mississippi,2006,1,2127247,1275110,59.9,1187661,55.8,87449,6.9
29, Missouri,2006,1,4466089,3014631,67.5,2865710,64.2,148921,4.9
30, Montana,2006,1,734619,489832,66.7,472225,64.3,17607,3.6
31, Nebraska,2006,1,1330057,969001,72.9,936904,70.4,32097,3.3
32, Nevada,2006,1,1855912,1258441,67.8,1208656,65.1,49785,4
33, New Hampshire,2006,1,1027051,728153,70.9,702807,68.4,25346,3.5
34, New Jersey,2006,1,6651518,4421798,66.5,4211793,63.3,210005,4.7
35, New Mexico,2006,1,1452381,908699,62.6,867820,59.8,40879,4.5
36, New York,2006,1,15071428,9522997,63.2,9066533,60.2,456464,4.8
51000, New York city,2006,1,6445456,3826331,59.4,3619980,56.2,206351,5.4
37, North Carolina,2006,1,6654329,4390556,66,4164193,62.6,226363,5.2
